Latitude,Longitude,ValidDate,AQI,PM2.5,PM10,O3,NO2,CO,SO2
34.8416,-118.8647,09-01-25,196,10,17,24,5.1,0.2,0.2
35.3313,-119,09-01-25,62,6.8,17,47,14,0.4,0.2
35.208302,-118.784401,09-01-25,21,6.8,17,24,5.1,0.2,0.2
35.23918,-118.78863,09-01-25,45,6.8,17,29,5.1,0.2,0.2
35.50349,-119.27264,09-01-25,7,6.8,17,48,5.5,0.2,0.2
36.102219,-119.566002,09-01-25,66,15,87,24,5.1,0.2,0.2
36.3144,-119.6436,09-01-25,0,15,79,49,5.1,0.2,0.2
34.136474,-117.923963,09-01-25,98,6.8,17,24,5.1,0.2,0.2
34.1439,-117.8508,09-01-25,97,8.4,19,27,9.9,0.2,0.2
34.051097,-118.456386,09-01-25,96,6.8,17,27,1.2,0.2,0.2
34.1764,-118.3158,09-01-25,30,6.8,17,24,5.1,0.2,0.2
34.066429,-118.226755,09-01-25,39,8.1,19,35,5.1,0.2,0.1
34.1992,-118.5331,09-01-25,36,11.9,17,55,3.9,0.1,0.2
33.9014,-118.205,09-01-25,30,7.3,17,28,4.9,0.1,0.2
34.0131,-118.059196,09-01-25,127,6.8,17,29,9.2,0.2,0.2
34.010283,-118.068484,09-01-25,12,6.8,17,29,9.2,0.2,0.2
34.0667,-117.7506,09-01-25,23,6.8,17,23,12.6,0.2,0.2
34.13263,-118.127142,09-01-25,144,6.8,17,29,4,0.2,0.2
33.8233,-118.1883,09-01-25,16,6.8,17,24,5.1,0.2,0.2
33.792221,-118.175278,09-01-25,96,6.8,17,24,5.1,0.2,0.2
33.802417,-118.219933,09-01-25,122,6.8,17,24,5.1,0.2,0.2
33.859662,-118.200707,09-01-25,9,6.8,17,24,12.2,0.2,0.2
33.95507,-118.43046,09-01-25,48,6.8,17,24,5.1,0.2,0.2
34.3833,-118.5283,09-01-25,41,10.5,17,44,6.1,0.1,0.2
34.669589,-118.130689,09-01-25,97,6.8,17,24,5.1,0.2,0.2
34.8289,-118.8791,09-01-25,76,10,17,24,5.1,0.2,0.2
36.8669,-120.01,09-01-25,74,6.8,17,39,5.1,0.2,0.2
36.9533,-120.0341,09-01-25,16,10,51,42,5.1,0.2,0.2
